9048.31514875836	0	0	0	0	0	-9048.31514875836	0	0	0	0	0
0	238.030538632962	0	0	0	13465.0406397483	0	-238.030538632962	0	0	0	13465.0406397483
0	0	113.029655259571	0	-6393.92285673762	0	0	0	-113.029655259571	0	-6393.92285673762	0
0	0	0	923.760219479907	0	0	0	0	0	-923.760219479907	0	0
0	0	-6393.92285673762	0	488576.369879788	0	0	0	6393.92285673762	0	234813.423781466	0
0	13465.0406397483	0	0	0	1115427.89091405	0	-13465.0406397483	0	0	0	407967.556336907
-9048.31514875836	0	0	0	0	0	9048.31514875836	0	0	0	0	0
0	-238.030538632962	0	0	0	-13465.0406397483	0	238.030538632962	0	0	0	-13465.0406397483
0	0	-113.029655259571	0	6393.92285673762	0	0	0	113.029655259571	0	6393.92285673762	0
0	0	0	-923.760219479907	0	0	0	0	0	923.760219479907	0	0
0	0	-6393.92285673762	0	234813.423781466	0	0	0	6393.92285673762	0	488576.369879788	0
0	13465.0406397483	0	0	0	407967.556336907	0	-13465.0406397483	0	0	0	1115427.89091405
