4643.17284369566	4405.14230506270	0	0	0	-9521.22154531846	-4643.17284369566	-4405.14230506270	0	0	0	-9521.22154531846
4405.14230506270	4643.17284369566	0	0	0	9521.22154531846	-4405.14230506270	-4643.17284369566	0	0	0	9521.22154531846
0	0	113.029655259571	4521.18621038283	-4521.18621038283	0	0	0	-113.029655259571	4521.18621038283	-4521.18621038283	0
0	0	4521.18621038283	244750.065049634	-243826.304830154	0	0	0	-4521.18621038283	116944.831780993	-117868.592000473	0
0	0	-4521.18621038283	-243826.304830154	244750.065049634	0	0	0	4521.18621038283	-117868.592000473	116944.831780993	0
-9521.22154531846	9521.22154531846	0	0	0	1115427.89091405	9521.22154531846	-9521.22154531846	0	0	0	407967.556336907
-4643.17284369566	-4405.14230506270	0	0	0	9521.22154531846	4643.17284369566	4405.14230506270	0	0	0	9521.22154531846
-4405.14230506270	-4643.17284369566	0	0	0	-9521.22154531846	4405.14230506270	4643.17284369566	0	0	0	-9521.22154531846
0	0	-113.029655259571	-4521.18621038283	4521.18621038283	0	0	0	113.029655259571	-4521.18621038283	4521.18621038283	0
0	0	4521.18621038283	116944.831780993	-117868.592000473	0	0	0	-4521.18621038283	244750.065049634	-243826.304830154	0
0	0	-4521.18621038283	-117868.592000473	116944.831780993	0	0	0	4521.18621038283	-243826.304830154	244750.065049634	0
-9521.22154531846	9521.22154531846	0	0	0	407967.556336907	9521.22154531846	-9521.22154531846	0	0	0	1115427.89091405
